answer,question
Pepsin,"Pepsin is an enzyme. It acts on proteins in the stomach, which has a low pH because of the Hydrochloric acid. It works best at a pH of about 1.5. It will not work at a pH above 6."
Genetic linkage,Genetic linkage occurs when alleles at different loci do not segregate at random. Mendel's second law is thus broken.
Bamboo,"Bamboo is a name for over 1,400 species of giant grasses in 115 different genera. All bamboos have wood-like stems. Bamboo mainly grows in Africa, America and in Asia but can easily grow in Europe."
Small intestine,"The small intestine is an intestine, and a part of many living beings. It lies between the stomach and the large intestine. In humans over 5 years old, a small intestine may be five to six meters long. It is longer than the large intestine. But, as its diameter is less, its name is small intestine."
Sickle-cell disease,Sickle cell anaemia is a genetic disease. It affects red blood cells. It changes the cells from flexible disks into rigid crescents. When many red cells take this shape veins get blocked. This can cause damage to many organs. The organ damage increases with time and leads to an early death.
Young's modulus,Young's modulus is the measure of how much force is needed to stretch or compress a substance. Its most basic form is stress/strain. Stress is the measure of the force applied to a certain area. Strain is the amount by which the substance is deformed.
Galaxy,":For the automobile, see Ford Galaxy."
Topoisomerase,Topoisomerase is an enzyme that unwinds and winds DNA in order to help the creation of DNA structures.
Argon,"Argon is a chemical element. The symbol for argon is Ar, and its atomic number (or proton number) is 18. It is a noble gas and no electrons or protons can be lost or gained from this atom."
General relativity,"General relativity is a theory of space and time. The theory was published by Albert Einstein in 1915. The central idea of general relativity is that space and time are two aspects of spacetime. Spacetime is curved when there is gravity, matter, energy, and momentum. The links between these forces are shown in the Einstein field equations."
Calculus,"Calculus is a branch of mathematics which helps us understand changes between values that are related by a function. For example, if you had one formula telling how much money you got every day, calculus would help you understand related formulas like how much money you have in total, and whether you are getting more money or less than you used to.   All these formulas are  functions of time, and so that is one way to think of calculus -- studying functions of time. There are two different types of calculus. Differential calculus divides things into small (different) pieces and tells us how they change from one moment to the next, while integral calculus joins (integrates) the small pieces together and tells us how much of something is made, overall, by a series of changes. Calculus is used in many different areas of study such as physics, astronomy, biology, engineering, economics, medicine and sociology."
Function (mathematics),"In mathematics, a function is a prescription that assigns to every object of one set an object of another (or the same) set. In many cases the objects are numbers. A function may be seen as producing an output - the assigned object -, when given an input - the object from the first set.  So a function is like a process. Each input x that is in the set X of inputs is paired with one output y in the set Y of outputs. The set X of inputs is called the domain and the set Y of possible outputs is called the codomain. Then it is said that y is a function of x, and we write y =f(x). f is the name of the function and one writes f:X \to Y  (function from X to Y) to represent the three parts of the function, the domain, the codomain and the pairing process."
Cyanide,"Cyanides are chemicals that contain the cyano-group. In that group a carbon atom has three chemical bonds to a nitrogen atom. This group is present in many substances. Many of them are gases, but some are solids or liquids. Those substances that can release the compound CN are highly poisonous."
Maize,Maize (called corn in some countries) is a member of the grass family Poaceae. It is a cereal grain that was first grown by people in ancient Central America. It is now the third most important cereal crop in the world.
Phosphate,{{Chembox
Electron affinity,"Electron affinity is a phrase used in chemistry.  When an atom that is neutral gets an electron, the energy that is changed in the atom is the electron affinity. Across a period, the electron affinity increases."
Vitamin D,"Vitamin D is not actually a vitamin. It is a steroid hormone, which is made in the body under the right conditions. However, if the body does not make enough, it can also be obtained from food sources."
Absolute zero,"In theory, absolute zero is the temperature at which the particles of matter (molecules and atoms) are at their lowest energy points. It is a common misconception that at absolute zero particles lose all energy and stop moving. This, however, is false. In quantum physics there is something called zero point energy, which means that even after all the energy that can be extrapolated from particles is extrapolated, particles still have some energy. This is due to the Heisenberg Principle of Uncertainty, which states that the more you know about a particles position, the less you know about it's momentum, and vice versa. Therefore you cannot have a particle that is stopped, because then you would know both its exact position and momentum. In practice, it is impossible, because, much like reaching the speed of light, the amount of energy required is too vast. Some people have created temperatures very close to absolute zero: the record temperature was 100 pK (one hundred picokelvin, equal to 10−10 kelvin) above absolute zero. Even getting close to absolute zero is difficult because anything that touches an object being cooled near absolute zero would give heat to the objects. Scientists use lasers to slow atoms when cooling objects to very low temperatures."
